"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR","B.YEAR"
"537","8","28","FEMALE","WHITE","16",1974,NA
"538","8","28","FEMALE","WHITE","14",1974,NA
"539","8","31","FEMALE","WHITE","16",1974,NA
"540","3","32","MALE","BLACK","12",1974,NA
"541","4","46","MALE","BLACK","9",1974,NA
"542","3","29","FEMALE","BLACK","15",1974,NA
"543","7","37","FEMALE","BLACK","13",1974,NA
"544","2","31","FEMALE","BLACK","12",1974,NA
"545","6","31","MALE","WHITE","13",1974,NA
"546","6","74","MALE","WHITE","14",1974,NA
"547","9","40","FEMALE","WHITE","16",1974,NA
"548","4","78","FEMALE","WHITE","12",1974,NA
"549","7","30","FEMALE","WHITE","12",1974,NA
"550","3","24","MALE","WHITE","12",1974,NA
"551","4","61","MALE","WHITE","7",1974,NA
"552","7","39","MALE","WHITE","18",1974,NA
"553","5","27","FEMALE","WHITE","9",1974,NA
"554","5","22","FEMALE","WHITE","12",1974,NA
"555","5","26","MALE","WHITE","17",1974,NA
"556","10","59","MALE","WHITE","9",1974,NA
"558","10","27","FEMALE","WHITE","16",1974,NA
"559","8","58","FEMALE","WHITE","16",1974,NA
"560","5","50","MALE","WHITE","14",1974,NA
"561","7","45","MALE","WHITE","10",1974,NA
