"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR"
"586","6","51","FEMALE","WHITE","13",1974
"587","7","41","FEMALE","WHITE","12",1974
"588","4","19","MALE","WHITE","12",1974
"589","4","45","MALE","WHITE","8",1974
"590","6","48","FEMALE","WHITE","12",1974
"591","4","48","FEMALE","WHITE","12",1974
"592","7","28","FEMALE","WHITE","18",1974
"593","10","27","MALE","WHITE","16",1974
"594",NA,"65","MALE","WHITE","3",1974
"595","10","23","FEMALE","WHITE","14",1974
"596","6","22","FEMALE","WHITE","14",1974
"597","4","23","MALE","WHITE","12",1974
"598","5","55","MALE","WHITE","8",1974
"599","6","25","FEMALE","WHITE","12",1974
"600","6","27","FEMALE","WHITE","12",1974
"601","4","21","FEMALE","WHITE","12",1974
"602","6","27","MALE","WHITE","12",1974
"603","8","65","MALE","WHITE","8",1974
"604","7","40","FEMALE","WHITE","15",1974
"605","7","46","FEMALE","WHITE","12",1974
"606","7","39","FEMALE","WHITE","12",1974
"607","4","61","MALE","BLACK","9",1974
"608","3","66","MALE","BLACK","9",1974
"609","5","53","MALE","BLACK","10",1974
"610","5","63","FEMALE","BLACK","9",1974
"611","7","33","FEMALE","BLACK","12",1974
"612","4","31","MALE","WHITE","12",1974
"613","5","75","MALE","WHITE","8",1974
"614","3","23","FEMALE","WHITE","12",1974
"615","6","23","FEMALE","WHITE","12",1974
"616","4","35","FEMALE","WHITE","8",1974
"617","5","22","MALE","WHITE","12",1974
"618","6","59","MALE","WHITE","8",1974
"619","5","37","FEMALE","WHITE","12",1974
"620","7","29","FEMALE","WHITE","12",1974
"621","7","31","FEMALE","WHITE","12",1974
"622","5","19","MALE","BLACK","11",1974
"623","5","40","MALE","BLACK","7",1974
"624","4","20","FEMALE","WHITE","9",1974
"625","4","49","FEMALE","BLACK","11",1974
